Key,Value
Metadata_URL,https://sportsorthopedics.in/bone-joint-school/shoulder-pain/
Metadata_Type,bone-joint-school
Metadata_Title,Shoulder Pain | Sports Orthopedics
Metadata_Scraped,2025-04-05T17:47:57.335Z
Image,/images_bone_joint/having-shoulder-pain.webp
Heading,Shoulder Pain
Paragraph,Home>Bone & Joint School>Shoulder Pain
Heading,Book an Appointment
Paragraph,"Shoulder pain can affect all age groups. The reasons for the shoulder pain can range from injury, infection, instability to arthritis. Shoulder is a joint with vast range of movement. This increased mobility comes with a price of the joint being prone to instability and injuries."
Heading,Symptoms
Paragraph,"Shoulder pain can occur with movement in particular direction or with lifting objects in a particular angle. It can also hurt during rest. The area of pain is also an important characteristic which helps in understanding which structure of the shoulder has been affected.
Swelling. Swelling indicates that the shoulder is irritated. This can be due to mechanical causes such as rubbing, inflammation due to wear and tear or injury to the internal structures.
Stiffness. Stiffness can be due to swelling or muscle tightness. If stiffness is not allowing to lift the arm up, it means that something is mechanically blocking the free movements of the shoulder.
Instability. Instability occurs due to the labrum or lip of the socket being torn or stretches. This can be either in the form of subluxation where the joint is a bit loose or frank dislocation, where the joint is out of place and needs to be physically reduced back into place."
Heading,Conditions
Heading,Injuries
Paragraph,Bankarts (anterior) labral tear
Heading,SLAP tear
Paragraph,Kims (posterior) labral tear
Heading,Rotator cuff tear
Heading,Cartilage tear
Heading,Pectoralis Muscle Tear
Paragraph,Fracture around the shoulder joint (Intra-articular fractures)​
Heading,Wear & Tear
Heading,Shoulder Impingement
Heading,Biceps tendinopathy
Heading,Subacromial Bursitis
Heading,Loose body
Heading,Infection
Heading,Septic Arthritis
Heading,Infective Bursitis
Heading,Inflammation
Heading,Rheumatoid Arthritis
Heading,Frozen shoulder
Heading,Arthritis
Heading,Osteoarthritis
Paragraph,When to see a Doctor ?
Heading,Unable to move the shoulder full range
Paragraph,Redness and /or swelling of the shoulder
Heading,Persistent pain
Heading,Prevention of shoulder pain
Heading,Weight management
Heading,Maintaining flexibility and elasticity of the muscles
Heading,Regular exercises and stretches
Heading,Avoid prolonged sitting in same posture
Heading,Avoid drooping of the shoulders
