Key,Value
Metadata_URL,https://sportsorthopedics.in/bone-joint-school/tennis-elbow/
Metadata_Type,bone-joint-school
Metadata_Title,Tennis Elbow | Sports Orthopedics
Metadata_Scraped,2025-04-05T17:47:54.143Z
Image,/images_bone_joint/man-receiving-elbow-massage-golf-course-pain-relief-wellness.webp
Heading,Tennis Elbow
Paragraph,Home>Bone & Joint School>Tennis Elbow
Heading,Book an Appointment
Heading,Overview
Paragraph,"Tennis Elbow or lateral epicondylitis affects people in the age group between 30 and 50. It is a repetitive strain injury (RSI). It is due to micro injuries at the starting part of the muscle called Extensor carpi radialis brevis (ECRB). It feels like a bone pain, but it not a bone problem, but the muscle which starts from this point.
Why & how does Tennis Elbow Injury occur?"
Heading,Tennis elbow
Paragraph,"is due to repetitive strain. It is due to either playing racket sports such as tennis or badminton, but more commonly due to use of keyboards, mobile phones for prolonged periods. Using the vibration tools or wringing clothes can also cause this injury. The micro-injuries to the muscle tendon makes it stiff and painful.
Who gets the Tennis Elbow injury?
It is common in software users, prolonged mobile users, raquet sport players, women doing household chores and people using vibratory tools."
Heading,Symptoms
Heading,Pain gradual in onset
Heading,Pain starting from the elbow towards the wrist on the outer aspect
Heading,Minimal
Paragraph,or no swelling
Heading,Pain worsening with lifting objects holding hand upside down
Paragraph,"When to seek medical help?
Pain relieving medicines, RICE therapy are sufficient as an immediate remedy. If the pain is persistent and not settling, will need an assessment by a Sports Injury Consultant. Initial clinical assessment is necessary. MRI Scans and x-rays are usually not necessary.
​What happens when I visit the Consultant?
You will be asked about the nature of injury, symptoms further to that so far. Consultant will examine you and discuss the treatment modalities. In most cases, MRI scan wouldn’t be required. With simple exercise based treatment majority of these injuries heal naturally within 4 to 6 weeks. In those with poor signs of healing by 4 weeks, may need further management.
​What are the Treatment Options?
The treatment modalities for Tennis Elbow range from stretching exercises to PRP Injection to Tennis elbow surgery in patients with no response to simple modalities."
