Key,Value
Metadata_URL,https://sportsorthopedics.in/procedure-surgery/arthroscopy-shoulder/
Metadata_Type,procedure-surgery
Metadata_Title,Advanced Shoulder Arthroscopy | Sports Orthopedics Bangalore
Metadata_Scraped,2025-04-05T17:47:28.552Z
Heading,Arthroscopy Shoulder
Paragraph,Home>Procedures & Surgeries>Arthroscopy Shoulder
Heading,Book an Appointment
Paragraph,"Arthroscopy is a procedure done for the treatment of joint problems using small cuts through which camera is passed into the joint. Using the camera, the surgeon can see the joint and also treat various joint related problems. In addition to camera, the small thin instruments are passed into the joint and a vast array of surgical procedures such as cartilage repair, cartilage regeneration, ligament reconstruction, ligament repair, cyst removal are done through this procedure.
​Shoulder
​Common procedures performed in the shoulder include"
Heading,Bankarts repair
Heading,SLAP repair
Heading,Rotator cuff repair
Heading,Capsular Release for Frozen Shoulder
Heading,Subacromal Decompression
Heading,Posterior labral repair
Heading,Biceps tenotomy
Heading,Biceps tenodesis
Paragraph,Superior capsular reconstruction (SCR)
Heading,Stem Cell Therapy
Heading,Cartilage regeneration
Heading,Paralabral Cyst Removal
Heading,Latarjet Procedure
Heading,Loose body removal
Heading,Diagnostic Arthroscopy
Heading,Advantages
Paragraph,"There are several advantages to this procedure.
Small incisions (Key hole) About 5mm to 1 cm."
Heading,Quick Recovery
Heading,Less soft tissue injury
Heading,Cosmetic
Heading,Risks
Heading,Risks are minimal in this procedure
Heading,Infection
Heading,Tissue injury
Heading,Blood Clots
Heading,Anaesthesia
Paragraph,This procedure can be done under different modes of anaesthesia.
Heading,General Anaesthesia
Heading,Spinal Anaesthesia
Heading,Nerve Block
Heading,Local Anaesthesia
Paragraph,"Post-Operative Care
Early mobility is preferred in most arthroscopic surgeries. However there will be restrictions to active movements and lifting weight depending upon the type of surgery performed. Initially to reduce the inflammation R.I.C.E therapy is advised. Exercise programs form an integral part of the rehabilitation. Physiotherapy plays a key role in complete recovery and return back to activities and sports."
