Key,Value
Metadata_URL,https://sportsorthopedics.in/procedure-surgery/knee-replacement/
Metadata_Type,procedure-surgery
Metadata_Title,Knee Replacement Surgery in Bangalore | Sports Orthopedics
Metadata_Scraped,2025-04-05T17:47:10.926Z
Heading,Knee Replacement
Paragraph,Home>Procedures & Surgeries>Knee Replacement
Heading,Book an Appointment
Paragraph,"In patients with chronic Knee Pain, not controlled with conservative management will need a knee surgery. Knee replacement surgery involves removal of the damaged part of the knee joint and replacing that with metal alloys, ceramic or hard by smooth plastic polymer lining. The artificial joint provides a pain free mobile joint. Replaced knee behaves as a normal knee in terms of movement once the initial post-surgery stiffness of the muscles settle.
​When to get Knee Replacement done?"
Heading,Osteoarthritis:
Paragraph,"Advanced stages of knee arthritis with severe pain, limitation of mobility affecting the daily activities would warrant a knee replacement.
Rheumatoid Arthritis: Persistent knee pain inspite of good control of rheumatoid arthritis affecting the activities of daily living warrant a knee replacement.
Infective Arthritis: Post knee infection stiffness and persistent pain.
What symptoms warrant Surgery?"
Heading,Persistent pain
Heading,Night pain
Heading,Limited mobility due to pain
Heading,Difficulty with activities of daily living due to stiffness and pain
Heading,Risks
Paragraph,"Any surgery would involve certain risks however the risks with the knee replacement are low.
Fracture: During the surgery there is a small risk of fracture of the bone around the site of implants. Small fractures usually heal. Larger fractures though rare, may need further fixation with plates or wires.
Infection: Risk of infection is low with the advanced techniques and improvised theatre environment. Infection if picked up early, are likely to respond to antibiotics. In some instances it may need further washout or even removal of the implant.
Nerve Damage: Rare, but can lead to numbness or weakness down the leg. In most patients, that recovers within 3 months.
Clots in legs and lungs: To prevent clots (Deep vein thrombosis and pulmonary embolism), medications are given for first 45 days post-surgery.
Stiffness: Stiffness of the muscles is common post-surgery and needs good physiotherapy support.
Loosening of the implants: This is expected to happen in some patients usually after 15 years post-surgery. If it becomes painful, may then need a revision knee replacement surgery."
Heading,Preparing for the surgery
Paragraph,A good control of medical conditions such as diabetes and blood pressure is required. In addition to that a thorough check up by the physician and advice regarding the dosage of the medications and any alterations to that the days before and after the surgery needs to be taken. Stopping smoking is necessary as smoking affects the healing of the surgical wound.
Heading,Day of the surgery
Paragraph,"The surgery is either performed with injection in the back to numb the legs or alternatively under general anaesthesia where you are put to sleep for about the 1.5 hours of surgical time. Post-surgery you can expect to see a large dressing around your knee.
Post-Surgery
​Post-surgery you can expect rehabilitation to start early. On the day 1 Physiotherapists will ask you to move your ankles and press your knee down. On day 2, you can expect to sit on the edge of bed also take a few steps with the help of walker and the physiotherapist. A stay of 2 to 4 days in hospital is expected. You can expect to walk comfortably without a walker support by 2 to 3 weeks."
