Key,Value
Metadata_URL,https://sportsorthopedics.in/procedure-surgery/subacromial-decompression/
Metadata_Type,procedure-surgery
Metadata_Title,Subacromial Decompression in Bangalore | Sports Orthopedics
Metadata_Scraped,2025-04-05T17:46:42.853Z
Heading,Subacromial Decompression
Paragraph,Home>Procedures & Surgeries>Subacromial Decompression
Heading,Book an Appointment
Heading,Overview
Paragraph,Subacromial space is the area below the acromion (roof bone) of the shoulder and the underlying supraspinatus (rotator cuff) muscle. This area contains the subacromial bursa (a fluid filled pouch). This area can be very narrow and obliterated in patients with a flat (Type 2) or down sloping (Type 3) Acromion bone. The thickening of the bursa due to repetitive irritation can also be the cause of pain.
Heading,Diagnosis
Paragraph,"Physical examination reveals pain particularly in the terminal range of movements.
X-ray: X-ray is performed and is useful to assess the type of the acromion (outer projecting edge of the shoulder blade) bone and for signs of arthritis.
Ultrasound Scan: Ultrasound scan of shoulder has got a role in assessing the state of the rotator cuff muscle.
MRI Scan: MRI Scan is the gold standard investigation to identify the type and extent of the Rotator cuff tear. It also helps in understanding the condition of the muscle."
Heading,Treatment
Paragraph,Subacromial bursitis and impingement needs an arthroscopic (keyhole) surgery to create space when conservative treatments such as exercises and steroid injection have failed to improve the condition.
Heading,Arthroscopic Subacromial Decompression Surgery
Paragraph,"Subacromial decompression surgery is a day care surgery. Through arthroscopy (Keyholes), the shoulder joint is assessed and the joint structures are evaluated. The undersurface of the acromion bone and the joint between acromion and the clavicle (collar bone) is assessed. The beaking part of the acromion bone is shaved off using the bone burr. A smooth undersurface of the acromion bone with enough room for the shoulder joint to move freely is created. The thickened subacromial bursal tissue is removed. The underlying rotator cuff muscle is assessed for its integrity."
Heading,Subacromial Decompression Rehabilitation
Paragraph,"Post-surgery, you can expect to be in a broad arm sling supporting your arm. Gentle passive mobilisation is started early as soon as pain is better. Active ROM exercises are started usually by 2nd week post-surgery. Strengthening exercises typically start around 4 weeks post surgery. To achieve full functionality including lifting objects, you can expect it to take around 2 to 3 months."
Heading,ACL Tear
Heading,LCL Ligament tear
Heading,MCL Ligament tear
Paragraph,Knee Dislocation (MPFL Ligament Injury)
Heading,Cartilage tear
Heading,Patellar Chondromalacia
Paragraph,Fracture around the knee joint (Intra-articular fractures)
Heading,Wear & Tear
Heading,Patellar tendinopathy
Heading,Fat Pad Impingement
Heading,Quads tendinopathy
Heading,Osteochondritis Dissecans Knee
Heading,IT Band tightness
Heading,Loose body
