Surgeon Slug,Section Title,Item Text
naveen,Expertise,Excellent Arthroscopy Surgeon
naveen,Expertise,Ligament Reconstruction Surgeon
naveen,Expertise,"Muscle, Tendon Soft Tissue Surgery Expert"
naveen,Expertise,Stem Cell Therapy & Cartilage Regeneration Expert
naveen,Expertise,Robotic Hip & Knee Replacement Surgeon (Mako Certified)
naveen,Expertise,Shoulder Replacement Surgeon (Computer Navigated)
naveen,Expertise,Well Experienced Pelvi-Acetabular Surgeon
naveen,Awards & Distinction,“Service Excellence in Sports Injury Surgeries” – Vijay Karnataka & Bangalore Mirror Health Excellence Award – Jan 2025
naveen,Awards & Distinction,Excellence in Sports Orthopedics & Regenerative Medicine – Dr. APJ Abdul Kalam Health Awards – July 2024
naveen,Awards & Distinction,"Best Presentation Award – British Indian Orthopaedic Society (BIOS) Conference, Cumbria, UK – July 2017"
naveen,Awards & Distinction,"Wrightington Gold Medal, UK – May 2017"
naveen,Awards & Distinction,"Prestigious German Fellowship award – Diploma SICOT, Italy  – Sep 2016"
naveen,Awards & Distinction,"Best Research Fellow presentation award – Wrightington Gold Medal Research day, UK – June 2016"
naveen,Awards & Distinction,"2nd Price – State level Post-Graduate Orthopaedic Quiz, Mysore, India – Jul 2003"
naveen,Awards & Distinction,"Honors – Ophthalmology, BLDEA's Medical College, Bijapur, India – Dec 1996"
naveen,Awards & Distinction,"Sir John Charnley Award – Best Adult Pathology paper, NWOA, Manchester, UK – Co-author – Dec 2017"
naveen,Awards & Distinction,"Best Poster award (Selected for) – BIOS Conference, UK – Co-author – July 2017"
naveen,Awards & Distinction,"Gold medal – Wrightington Gold Medal Research day, UK – Co-author – June 2016"
naveen,Awards & Distinction,"Distinction (90%) – FEBOT, Lisbon, Portugal – Oct 2017"
naveen,Awards & Distinction,"Merit – MCh, Edgehill University, UK – August 2017"
naveen,Awards & Distinction,"Distinction (77.5%) – FRCS Orth Part 1, UK – Nov 2016"
naveen,Awards & Distinction,"Topper – Dip SICOT, Italy – Sep 2016"
naveen,Awards & Distinction,"Merit – MSc, Salford University, UK – June 2016"
naveen,Awards & Distinction,"Distinction, 3rd Rank – MBBS, 1st Phase – Karnataka University, India – Dec 1994"
naveen,Awards & Distinction,"Distinction, 64th Rank – State level – SSLC Exams – Karnataka State, India – Apr 1991"
naveen,Qualifications,"Dip FIFA – FIFA Medical, Switzerland – Oct 2019"
naveen,Qualifications,"FRCS Tr & Orth – Royal College of Surgeons, England – Nov 2017"
naveen,Qualifications,"FEBOT – European Board of Orthopaedics & Trauma, Lisbon, Portugal – Oct 2017"
naveen,Qualifications,"MCh Hip & Knee – Edgehill University, UK – July 2017"
naveen,Qualifications,FSEM – UK – Oct 2017
naveen,Qualifications,"Diploma SICOT – Société Internationale de Chirurgie Orthopédique et de Traumatologie, Rome- Sep 2016"
naveen,Qualifications,"MSc Trauma & Orth – Salford University, UK – June 2016"
naveen,Qualifications,"MRCGP – RCGP, UK – Oct 2008"
naveen,Qualifications,"MS Orthopaedics – MAHE University, Manipal – Jul 2004"
naveen,Qualifications,"MBBS – B.L.D.E.A's medical college, Bijapur – Mar 1999"
naveen,Additional Credentials,Certified Advanced Trauma Life Support (ATLS®) Provider accreditation –  American College of Surgeons.
naveen,Additional Credentials,Certified Advanced Life Support (ALS) Provider accreditation – Resuscitation Council (United Kingdom)
naveen,Professional Visits,"Regrow Biosciences, Stem Cell research center and Factory, Mumbai – Jul 2023"
naveen,Professional Visits,"Link implants Factory (Waldemar Link GmbH & Co), Hamburg, Germany – Jan 2018"
naveen,Professional Visits,"Medartis Centre, Basel, Switzerland – Mar 2017"
naveen,Professional Visits,"DePuy Synthes, Leeds, UK – Oct 2017"
naveen,Faculty & Guest Lectures,"Faculty – Panelist – IASCON, Bangalore – Sep 2024"
naveen,Faculty & Guest Lectures,"Faculty – Chair-person – Live Surgery – IASCON, Bangalore – Sep 2024"
naveen,Faculty & Guest Lectures,Faculty – The Knee Innovations Arthro-lab – Arthroscopy Knee – Arthrex – Bangalore – Aug 2024
naveen,Faculty & Guest Lectures,Faculty – Meet the Masters – Shoulder Arthroscopy CME – DePuy Synthes – Bangalore – Jul 2024
naveen,Faculty & Guest Lectures,Faculty – Bangalore Knee Conference – Bangalore – Dec 2023
naveen,Faculty & Guest Lectures,"Faculty – Shoulder Cadaveric Arthroscopy Course – Ramaiah Medical College, Bangalore – June 2023"
naveen,Faculty & Guest Lectures,"Faculty – Bangalore Arthroscopy Course, Bangalore – Oct 2022"
naveen,Faculty & Guest Lectures,Faculty – AutoCart An Expert Insight into Cartilage Regeneration – International Arthrex Virtual Conference – Sep 2021
naveen,Faculty & Guest Lectures,Faculty – Nishta 93 Multi Speciality CME – Mar 2020
naveen,Faculty & Guest Lectures,"Faculty – MCh / FRCS Preparation Course, Wrightington Hospital, UK – Jan 2018"
naveen,Faculty & Guest Lectures,"Faculty – FRCS Viva Course, Orthopaedic Network, Sheffield, UK – Jan 2018"
naveen,Faculty & Guest Lectures,"Klinikum Rechts Der Isar, Munich, Germany  – Pelvic Discontinuity– Aug 2017"
naveen,Faculty & Guest Lectures,"König – Ludwig – Haus, Würzburg, Germany – Peri-prosthetic fracture management – Aug 2017"
naveen,Conferences,"KOACON – Karnataka Orthopaedic Association, Bangalore– Feb 2025"
naveen,Conferences,"IASCON – Indian Arthroscopy Society Conference, Bangalore – Sep 2024"
naveen,Conferences,"KOACON – Karnataka Orthopaedic Association, Shivamogga – Feb 2024"
naveen,Conferences,"IASCON – Indian Arthroscopy Association Conference, Coimbatore – Oct 2022"
naveen,Conferences,"IOACON, Indian Orthopaedic Association Conference, Goa – Dec 2021"
